,id,date,area,price,age,postalCode,district,percent,totalPrice,dateShamsi,usingType,frameType,year,quarter,month,region
2368,16276299,2018-05-06,55.0,3.0,0,179789,15,100.0,165.0,1397/02/16,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,17978.0
5781,16316059,2018-05-14,58.0,2.931034,9,134885,10,100.0,170.0,1397/02/24,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,13488.0
5265,16978132,2018-10-11,95.93,6.9,7,138875,21,100.0,661.917,1397/07/19,مسکوني,فلزی,2018-01-01,2018-10-01,2018-10-01,13887.0
4966,16204596,2018-04-18,109.0,8.59633,1,159497,6,100.0,937.0,1397/01/29,مسکوني,بتونی و فلزی,2018-01-01,2018-04-01,2018-04-01,15949.0
6080,16692072,2018-07-31,170.0,14.0,1,19357,1,100.0,2380.0,1397/05/09,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,19357.0
6121,16321214,2018-05-15,196.49,8.753625999999999,2,133483,11,100.0,1720.0,1397/02/25,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,13348.0
607,16584300,2018-07-08,75.0,8.0,1,148475,5,100.0,600.0,1397/04/17,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,14847.0
6460,16532820,2018-06-28,61.12,2.945026,2,117891,12,100.0,180.0,1397/04/07,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,11789.0
366,15919553,2018-01-17,57.59,5.938530999999999,1,163181,8,100.0,342.0,1396/10/27,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,16318.0
6188,16212466,2018-04-21,77.34,6.982157000000001,3,148164,5,100.0,540.0,1397/02/01,مسکوني,بتونی و فلزی,2018-01-01,2018-04-01,2018-04-01,14816.0
2222,16515031,2018-06-25,50.0,7.74,0,134164,9,100.0,387.0,1397/04/04,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,13416.0
5617,16600179,2018-07-12,114.0,13.201754000000001,1,143781,6,100.0,1505.0,1397/04/21,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,14378.0
5930,17174516,2018-12-11,52.6,6.577947,12,167796,4,100.0,346.0,1397/09/20,مسکوني,بتونی و فلزی,2018-01-01,2018-10-01,2018-12-01,16779.0
6664,16575065,2018-07-07,74.0,3.9189190000000003,4,119699,11,100.0,290.0,1397/04/16,مسکوني,بتونی و فلزی,2018-01-01,2018-07-01,2018-07-01,11969.0
4566,15978312,2018-02-01,75.0,4.3333330000000005,17,173861,13,100.0,325.0,1396/11/12,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,17386.0
513,15936750,2018-01-22,69.87,6.039788,12,147681,1,100.0,422.0,1396/11/02,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14768.0
6329,15923402,2018-01-18,56.08,2.1398,4,137471,18,100.0,120.0,1396/10/28,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,13747.0
4301,16812926,2018-08-28,51.61,9.184267,20,147166,5,100.0,474.0,1397/06/06,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,14716.0
2455,16619414,2018-07-16,91.94,14.792256,1,19166,3,100.0,1360.0,1397/04/25,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,19166.0
5623,17172354,2018-12-10,69.62,9.69549,17,156384,7,100.0,675.0,1397/09/19,مسکوني,فلزی,2018-01-01,2018-10-01,2018-12-01,15638.0
4245,17026091,2018-10-24,56.35,10.647737,21,147561,5,100.0,600.0,1397/08/02,مسکوني,فلزی,2018-01-01,2018-10-01,2018-10-01,14756.0
461,16185889,2018-04-12,39.5,2.41519,17,134877,10,100.0,95.4,1397/01/23,مسکوني,فلزی,2018-01-01,2018-04-01,2018-04-01,13487.0
848,16615165,2018-07-15,72.49,3.586702,7,183383,16,100.0,260.0,1397/04/24,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,18338.0
4169,15895651,2018-01-12,82.98,5.290431,1,177973,15,100.0,439.0,1396/10/22,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,17797.0
1453,16169243,2018-04-08,66.83,2.379171,1,189463,17,100.0,159.0,1397/01/19,مسکوني,بتونی,2018-01-01,2018-04-01,2018-04-01,18946.0
2250,16041949,2018-02-17,44.0,2.704545,1,135174,9,100.0,119.0,1396/11/28,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,13517.0
3239,15956587,2018-01-27,167.0,7.149700999999999,0,168994,4,100.0,1194.0,1396/11/07,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,16899.0
491,17162169,2018-12-08,70.77,7.630352,17,176681,14,100.0,540.0,1397/09/17,مسکوني,فلزی,2018-01-01,2018-10-01,2018-12-01,17668.0
2538,15985106,2018-02-03,62.47,3.137506,8,133469,11,100.0,196.0,1396/11/14,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,13346.0
2034,16273714,2018-05-05,106.03,9.242666999999999,40,143494,6,100.0,980.0,1397/02/15,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,14349.0
4172,15909055,2018-01-15,168.8,6.990521,7,148393,5,100.0,1180.0,1396/10/25,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14839.0
2203,16933553,2018-09-30,137.6,10.174419,3,19399,3,100.0,1400.0,1397/07/08,مسکوني,بتونی و فلزی,2018-01-01,2018-07-01,2018-09-01,19399.0
4339,16071511,2018-02-25,144.2,8.945908,31,146779,2,100.0,1290.0,1396/12/06,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,14677.0
5920,16012711,2018-02-10,57.0,3.140351,0,136575,16,100.0,179.0,1396/11/21,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,13657.0
1022,15858030,2018-01-02,83.0,5.240964,8,145884,2,100.0,435.0,1396/10/12,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14588.0
6610,16353986,2018-05-21,100.0,9.0,1,173973,13,100.0,900.0,1397/02/31,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,17397.0
4515,16485630,2018-06-19,44.55,3.5690239999999998,17,171585,13,100.0,159.0,1397/03/29,مسکوني,فلزی,2018-01-01,2018-04-01,2018-06-01,17158.0
2613,16265328,2018-05-03,74.54,4.024685,1,134574,10,100.0,300.0,1397/02/13,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,13457.0
3909,16028964,2018-02-14,120.01,7.349388,2,165575,4,100.0,882.0,1396/11/25,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,16557.0
1813,16940291,2018-10-01,80.25,8.137072,0,134986,9,100.0,653.0,1397/07/09,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,13498.0
242,16097284,2018-03-03,59.1,7.1912009999999995,17,19417,3,100.0,425.0,1396/12/12,مسکوني,بتونی و فلزی,2018-01-01,2018-01-01,2018-03-01,19417.0
2632,15996914,2018-02-06,49.5,3.030303,10,179464,15,100.0,150.0,1396/11/17,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,17946.0
1272,16679706,2018-07-29,51.9,7.225434,3,165568,4,100.0,375.0,1397/05/07,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,16556.0
5209,17105314,2018-11-20,66.86,11.292252000000001,19,147388,5,100.0,755.0,1397/08/29,مسکوني,فلزی,2018-01-01,2018-10-01,2018-11-01,14738.0
802,16758348,2018-08-14,105.0,6.342857,0,138861,21,100.0,666.0,1397/05/23,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,13886.0
5815,16845972,2018-09-06,72.6,5.068871,11,178383,15,100.0,368.0,1397/06/15,مسکوني,فلزی,2018-01-01,2018-07-01,2018-09-01,17838.0
3176,16457098,2018-06-13,125.5,6.414343,2,168166,4,100.0,805.0,1397/03/23,مسکوني,فلزی,2018-01-01,2018-04-01,2018-06-01,16816.0
2168,15935872,2018-01-22,65.37,4.895212,7,173677,13,100.0,320.0,1396/11/02,مسکوني,بتونی و فلزی,2018-01-01,2018-01-01,2018-01-01,17367.0
5445,16456677,2018-06-13,65.81,5.926151,12,177965,15,100.0,390.0,1397/03/23,مسکوني,فلزی,2018-01-01,2018-04-01,2018-06-01,17796.0
5799,15972733,2018-01-31,71.58,4.74993,20,159681,6,100.0,340.0,1396/11/11,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,15968.0
681,16006296,2018-02-08,69.72,6.59782,18,156771,7,100.0,460.0,1396/11/19,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,15677.0
5523,17060159,2018-11-05,90.94,1.099626,12,156593,7,100.0,100.0,1397/08/14,مسکوني,بتونی,2018-01-01,2018-10-01,2018-11-01,15659.0
958,17052076,2018-11-03,63.07,3.123514,1,136686,17,100.0,197.0,1397/08/12,مسکوني,بتونی,2018-01-01,2018-10-01,2018-11-01,13668.0
5374,15899249,2018-01-13,158.0,7.3101270000000005,3,19818,2,100.0,1155.0,1396/10/23,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,19818.0
1818,16616327,2018-07-16,82.43,4.0033970000000005,24,161174,7,100.0,330.0,1397/04/25,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,16117.0
5986,16017224,2018-02-12,138.26,17.000579000000002,2,19986,2,100.0,2350.5,1396/11/23,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,19986.0
168,16819555,2018-08-31,40.05,3.9700370000000005,16,163673,8,100.0,159.0,1397/06/09,مسکوني,فلزی,2018-01-01,2018-07-01,2018-08-01,16367.0
3833,16092040,2018-03-02,45.72,2.12161,14,135384,10,100.0,97.0,1396/12/11,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,13538.0
4263,17044805,2018-10-31,97.15,15.337107999999999,12,166485,4,100.0,1490.0,1397/08/09,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,16648.0
5968,16315028,2018-05-14,49.0,3.55102,7,134774,10,100.0,174.0,1397/02/24,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,13477.0
4638,16390909,2018-05-28,52.86,4.161937,18,134584,10,100.0,220.0,1397/03/07,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,13458.0
6493,15911344,2018-01-15,61.95,4.293785,15,174188,13,100.0,266.0,1396/10/25,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,17418.0
3225,16383028,2018-05-27,53.28,5.349099,5,134665,10,100.0,285.0,1397/03/06,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,13466.0
4101,16066381,2018-02-24,47.86,5.3280400000000006,19,148761,5,100.0,255.0,1396/12/05,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,14876.0
3058,16928901,2018-09-29,59.7,5.025126,15,171585,13,100.0,300.0,1397/07/07,مسکوني,بتونی و فلزی,2018-01-01,2018-07-01,2018-09-01,17158.0
3181,16316966,2018-05-14,110.0,6.731818,0,177966,15,100.0,740.5,1397/02/24,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,17796.0
3481,15883696,2018-01-09,62.86,8.845052,2,146464,2,100.0,556.0,1396/10/19,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14646.0
1994,17176370,2018-12-11,55.2,6.086957,14,134674,10,100.0,336.0,1397/09/20,مسکوني,بتونی,2018-01-01,2018-10-01,2018-12-01,13467.0
3352,16141350,2018-03-15,50.0,5.9,1,165981,4,100.0,295.0,1396/12/24,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,16598.0
5042,17040718,2018-10-29,37.22,8.704997,4,134875,10,100.0,324.0,1397/08/07,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,13487.0
1733,17000591,2018-10-17,51.62,5.036807,42,164498,8,100.0,260.0,1397/07/25,مسکوني,فلزی,2018-01-01,2018-10-01,2018-10-01,16449.0
2023,15988943,2018-02-04,56.0,2.589286,1,119893,12,100.0,145.0,1396/11/15,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,11989.0
3531,16043481,2018-02-18,107.86,3.8661230000000004,4,161475,7,100.0,417.0,1396/11/29,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,16147.0
5142,16718438,2018-08-06,57.92,11.740331,6,167868,4,100.0,680.0,1397/05/15,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,16786.0
103,16428153,2018-06-08,67.19,8.260158,18,148387,5,100.0,555.0,1397/03/18,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,14838.0
527,16157585,2018-03-28,82.65,5.6261339999999995,15,141465,6,100.0,465.0,1397/01/08,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,14146.0
3092,16506916,2018-06-24,148.0,19.797297,1,146893,2,100.0,2930.0,1397/04/03,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,14689.0
2644,16992035,2018-10-15,90.78,10.685172999999999,11,143361,6,100.0,970.0,1397/07/23,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,14336.0
1209,15876796,2018-01-07,49.81,2.901024,5,138179,9,100.0,144.5,1396/10/17,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,13817.0
6255,16924486,2018-09-28,35.16,8.333333,2,134986,9,100.0,293.0,1397/07/06,مسکوني,فلزی,2018-01-01,2018-07-01,2018-09-01,13498.0
5446,16235189,2018-04-25,71.97,3.154092,5,178378,15,100.0,227.0,1397/02/05,مسکوني,فلزی,2018-01-01,2018-04-01,2018-04-01,17837.0
2225,15871563,2018-01-06,143.2,3.8966480000000003,4,117684,12,100.0,558.0,1396/10/16,مسکوني,بتونی و فلزی,2018-01-01,2018-01-01,2018-01-01,11768.0
2550,16411339,2018-06-02,84.29,7.592834,5,165373,4,100.0,640.0,1397/03/12,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,16537.0
1971,16079747,2018-02-27,213.69,12.167158,1,147166,5,100.0,2600.0,1396/12/08,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,14716.0
3977,16806613,2018-08-27,47.3,4.5454550000000005,14,135384,10,100.0,215.0,1397/06/05,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,13538.0
3889,16876332,2018-09-13,314.08,16.556291,1,151471,6,100.0,5200.0,1397/06/22,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,15147.0
2428,15857218,2018-01-02,115.18,12.719222,6,19677,2,100.0,1465.0,1396/10/12,مسکوني,بتونی و فلزی,2018-01-01,2018-01-01,2018-01-01,19677.0
4624,16718607,2018-08-06,111.14,16.996581,1,19478,3,100.0,1889.0,1397/05/15,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,19478.0
3389,17083230,2018-11-13,100.0,5.0,0,139194,5,100.0,500.0,1397/08/22,مسکوني,فلزی,2018-01-01,2018-10-01,2018-11-01,13919.0
4104,16996758,2018-10-16,46.59,4.722043,42,163775,8,100.0,220.0,1397/07/24,مسکوني,فلزی,2018-01-01,2018-10-01,2018-10-01,16377.0
4145,15959628,2018-01-27,48.81,3.052653,16,165767,4,100.0,149.0,1396/11/07,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,16576.0
3117,17022093,2018-10-23,97.4,12.012319999999999,14,166169,4,100.0,1170.0,1397/08/01,مسکوني,بتونی و فلزی,2018-01-01,2018-10-01,2018-10-01,16616.0
6534,16885820,2018-09-16,56.0,7.142857000000001,0,115373,13,100.0,400.0,1397/06/25,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,11537.0
409,16619847,2018-07-16,62.81,3.184206,8,136663,17,100.0,200.0,1397/04/25,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,13666.0
4999,16691581,2018-07-31,76.33,7.952311999999999,5,164861,8,100.0,607.0,1397/05/09,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,16486.0
2413,16176696,2018-04-10,96.0,8.4,0,141468,6,100.0,806.4,1397/01/21,مسکوني,فلزی,2018-01-01,2018-04-01,2018-04-01,14146.0
5452,15950479,2018-01-25,59.29,2.192613,15,137163,18,100.0,130.0,1396/11/05,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,13716.0
5877,16959788,2018-10-06,52.0,2.938462,2,134865,10,100.0,152.8,1397/07/14,مسکوني,فلزی,2018-01-01,2018-10-01,2018-10-01,13486.0
3161,16085484,2018-02-28,56.0,1.339286,12,138798,6,50.0,150.0,1396/12/09,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,13879.0
4319,15934716,2018-01-21,211.17,8.281035000000001,31,169363,1,100.0,1748.7061,1396/11/01,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,16936.0
929,16469781,2018-06-17,67.0,8.477611999999999,0,14197,6,100.0,568.0,1397/03/27,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,14197.0
163,16720905,2018-08-06,78.9,8.859316,16,148774,5,100.0,699.0,1397/05/15,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,14877.0
3445,16990913,2018-10-15,92.82,19.392372,2,19486,11,100.0,1800.0,1397/07/23,مسکوني,فلزی,2018-01-01,2018-10-01,2018-10-01,19486.0
4967,16602271,2018-07-12,74.38,5.848346,2,161994,7,100.0,435.0,1397/04/21,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,16199.0
3701,16879347,2018-09-15,62.93,7.7387570000000006,18,145668,2,100.0,487.0,1397/06/24,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,14566.0
2460,15880830,2018-01-08,111.44,7.8517589999999995,11,19119,3,100.0,875.0,1396/10/18,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,19119.0
1847,15922802,2018-01-18,111.84,3.844778,1,177997,15,100.0,430.0,1396/10/28,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,17799.0
1324,16413251,2018-06-02,310.0,10.322581,12,19579,1,100.0,3200.0,1397/03/12,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,19579.0
180,16516697,2018-06-25,53.0,4.481132,20,133571,11,100.0,237.5,1397/04/04,مسکوني,فلزی,2018-01-01,2018-04-01,2018-06-01,13357.0
5057,17093695,2018-11-17,87.0,10.344828,0,173695,13,100.0,900.0,1397/08/26,مسکوني,فلزی,2018-01-01,2018-10-01,2018-11-01,17369.0
6454,15858576,2018-01-02,95.15,7.461902,26,143198,6,100.0,710.0,1396/10/12,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14319.0
1427,17042874,2018-10-30,27.73,3.642265,5,179497,14,100.0,101.0,1397/08/08,مسکوني,فلزی,2018-01-01,2018-10-01,2018-10-01,17949.0
1459,16776427,2018-08-19,49.82,10.136491,16,147319,5,100.0,505.0,1397/05/28,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,14731.0
6530,16455921,2018-06-13,77.18,5.130863,6,176663,14,100.0,396.0,1397/03/23,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,17666.0
6410,16558769,2018-07-03,108.0,10.462963,1,147587,5,100.0,1130.0,1397/04/12,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,14758.0
5476,15941023,2018-01-23,74.08,6.951944,22,14648,2,100.0,515.0,1396/11/03,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14648.0
3443,16264881,2018-05-03,51.9,3.726397,6,135173,9,100.0,193.4,1397/02/13,مسکوني,فلزی,2018-01-01,2018-04-01,2018-05-01,13517.0
1098,16041833,2018-02-17,135.0,6.837037,16,154475,3,100.0,923.0,1396/11/28,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,15447.0
243,16607266,2018-07-14,59.5,3.8655459999999997,18,131995,11,100.0,230.0,1397/04/23,مسکوني,بتونی و فلزی,2018-01-01,2018-07-01,2018-07-01,13199.0
1404,16457066,2018-06-13,61.8,2.63754,18,177991,15,100.0,163.0,1397/03/23,مسکوني,فلزی,2018-01-01,2018-04-01,2018-06-01,17799.0
1125,16006510,2018-02-08,44.0,6.409091,2,164597,8,100.0,282.0,1396/11/19,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,16459.0
6581,17100151,2018-11-19,64.32,8.7,5,164689,8,100.0,559.584,1397/08/28,مسکوني,فلزی,2018-01-01,2018-10-01,2018-11-01,16468.0
5580,15854041,2018-01-01,61.69,4.992705,6,174373,13,100.0,308.0,1396/10/11,مسکوني,فلزی,2018-01-01,2018-01-01,2018-01-01,17437.0
3047,15892919,2018-01-11,142.65,8.096739999999999,1,147399,5,100.0,1155.0,1396/10/21,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,14739.0
381,16926438,2018-09-29,59.5,7.394958,7,165679,4,100.0,440.0,1397/07/07,مسکوني,فلزی,2018-01-01,2018-07-01,2018-09-01,16567.0
961,16476688,2018-06-18,95.73,5.066332,47,158375,6,100.0,485.0,1397/03/28,مسکوني,فلزی,2018-01-01,2018-04-01,2018-06-01,15837.0
2575,16077670,2018-02-26,63.52,3.73898,19,141993,6,100.0,237.5,1396/12/07,مسکوني,فلزی,2018-01-01,2018-01-01,2018-02-01,14199.0
2790,16304961,2018-05-12,135.0,11.6,0,146985,2,100.0,1566.0,1397/02/22,مسکوني,بتونی,2018-01-01,2018-04-01,2018-05-01,14698.0
1756,16804310,2018-08-27,69.85,6.320687,7,178575,15,100.0,441.5,1397/06/05,مسکوني,فلزی,2018-01-01,2018-07-01,2018-08-01,17857.0
2163,16056063,2018-02-21,155.39,11.261986,3,199175,3,100.0,1750.0,1396/12/02,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,19917.0
2885,16636898,2018-07-19,126.57,8.137789,33,139181,5,100.0,1030.0,1397/04/28,مسکوني,بتونی,2018-01-01,2018-07-01,2018-07-01,13918.0
2738,17168998,2018-12-10,105.0,5.619048,0,144197,2,100.0,590.0,1397/09/19,مسکوني,بتونی,2018-01-01,2018-10-01,2018-12-01,14419.0
3477,17128561,2018-11-28,190.34,25.218031,6,19986,2,100.0,4800.0,1397/09/07,مسکوني,بتونی,2018-01-01,2018-10-01,2018-11-01,19986.0
4988,15881391,2018-01-08,84.86,3.169927,4,137164,18,100.0,269.0,1396/10/18,مسکوني,بتونی,2018-01-01,2018-01-01,2018-01-01,13716.0
1629,16457573,2018-06-13,100.94,7.757083000000001,15,147861,5,100.0,783.0,1397/03/23,مسکوني,بتونی,2018-01-01,2018-04-01,2018-06-01,14786.0
4390,16071391,2018-02-25,120.0,6.4,1,165367,4,100.0,768.0,1396/12/06,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,16536.0
1455,16988502,2018-10-14,85.0,7.5,0,161493,7,100.0,637.5,1397/07/22,مسکوني,بتونی,2018-01-01,2018-10-01,2018-10-01,16149.0
6686,16862452,2018-09-10,87.34,3.514999,5,119863,12,100.0,307.0,1397/06/19,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,11986.0
6702,15905045,2018-01-14,67.14,4.2523089999999995,14,163581,8,100.0,285.5,1396/10/24,مسکوني,بتونی و فلزی,2018-01-01,2018-01-01,2018-01-01,16358.0
5811,16699307,2018-08-01,50.0,7.2,0,165684,4,100.0,360.0,1397/05/10,مسکوني,بتونی,2018-01-01,2018-07-01,2018-08-01,16568.0
344,17135954,2018-11-30,65.0,4.307691999999999,41,163196,7,100.0,280.0,1397/09/09,مسکوني,فلزی,2018-01-01,2018-10-01,2018-11-01,16319.0
1943,16196852,2018-04-16,52.45,2.287893,17,171195,13,100.0,120.0,1397/01/27,مسکوني,فلزی,2018-01-01,2018-04-01,2018-04-01,17119.0
2705,16478630,2018-06-18,69.48,4.951065,4,164691,8,100.0,344.0,1397/03/28,مسکوني,فلزی,2018-01-01,2018-04-01,2018-06-01,16469.0
13,17161060,2018-12-08,65.15,6.369916,2,134988,9,100.0,415.0,1397/09/17,مسکوني,بتونی,2018-01-01,2018-10-01,2018-12-01,13498.0
2226,16615469,2018-07-15,119.97,5.9514879999999994,16,177877,14,100.0,714.0,1397/04/24,مسکوني,فلزی,2018-01-01,2018-07-01,2018-07-01,17787.0
463,16914668,2018-09-25,66.1,10.816944,12,147494,5,100.0,715.0,1397/07/03,مسکوني,بتونی,2018-01-01,2018-07-01,2018-09-01,14749.0
628,16789225,2018-08-22,66.93,5.214403,15,134674,10,100.0,349.0,1397/05/31,مسکوني,فلزی,2018-01-01,2018-07-01,2018-08-01,13467.0
3832,16065165,2018-02-24,119.0,7.6974789999999995,1,14159,6,100.0,916.0,1396/12/05,مسکوني,بتونی,2018-01-01,2018-01-01,2018-02-01,14159.0
3687,16150465,2018-03-18,97.0,7.0103089999999995,2,147313,5,100.0,680.0,1396/12/27,مسکوني,بتونی,2018-01-01,2018-01-01,2018-03-01,14731.0
5874,17107159,2018-11-20,38.0,7.578947,0,164387,8,100.0,288.0,1397/08/29,مسکوني,فلزی,2018-01-01,2018-10-01,2018-11-01,16438.0
4613,16924800,2018-09-28,225.0,23.2,0,199883,2,100.0,5220.0,1397/07/06,مسکوني,بتونی و فلزی,2018-01-01,2018-07-01,2018-09-01,19988.0
2108,16048718,2018-02-19,143.23,2.408713,36,114776,12,100.0,345.0,1396/11/30,مسکوني,بتونی و فلزی,2018-01-01,2018-01-01,2018-02-01,11477.0
